rera_no,project_name,promoter,location,pincode,district,state,lat,lng,last_modified,details_url
P51700015764,Ramkrishna Niketan,Yash Govinda Build Infra LLP,Thane,400602,Thane,MAHARASHTRA,,,2018-03-22,https://maharerait.maharashtra.gov.in/public/project/view/16906
P51700014842,Panvelkar Estate - Stanford - Phase-II,Panvelkar Infrastructures Private Limited,Ambarnath,421503,Thane,MAHARASHTRA,,,2023-10-27,https://maharerait.maharashtra.gov.in/public/project/view/16909
P51700014837,BALAJI SHRUSHTI,VARSHA BUILDCON,Thane,400706,Thane,MAHARASHTRA,,,2018-11-01,https://maharerait.maharashtra.gov.in/public/project/view/16920
P51700016280,KHALIDA AMIN COMPLEX,AMIR AHMED ABUJI,Bhiwandi,421302,Thane,MAHARASHTRA,,,2018-05-02,https://maharerait.maharashtra.gov.in/public/project/view/16937
P51700014988,SEASONS BUSINESS CENTRE,Unique Sai Buildcon,Kalyan,421301,Thane,MAHARASHTRA,,,2018-09-21,https://maharerait.maharashtra.gov.in/public/project/view/16941
P51700014982,Khatri Nx,Aashiyana Constructions,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-01-15,https://maharerait.maharashtra.gov.in/public/project/view/16942
P51700015328,ARIHANT AAROHI PHASE II,ARIHANT SUPERSTRUCTURES LIMITED,Thane,421204,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/16943
P51700015064,SUSHAN,VENUS REALTORS,Thane,400602,Thane,MAHARASHTRA,,,2018-01-23,https://maharerait.maharashtra.gov.in/public/project/view/16953
P51700014924,Sai Heights Phase II A And B Wing,Sai Siddhi Developers,Kalyan,421306,Thane,MAHARASHTRA,,,2018-01-15,https://maharerait.maharashtra.gov.in/public/project/view/17435
P51700016301,MAHASHWETA - OJASS CONSTRUCTIONS,OJASS CONSTRUCTIONS,Thane,400601,Thane,MAHARASHTRA,,,2018-05-02,https://maharerait.maharashtra.gov.in/public/project/view/17436
P51700015209,SAI SHRUSHTI ANNEX,SAI SHRUSHTI ENTERPRISES,Thane,400612,Thane,MAHARASHTRA,,,2019-08-24,https://maharerait.maharashtra.gov.in/public/project/view/17439
P51700015290,Bharat Ecovistas Phase III,BHARAT REALTY VENTURE PRIVATE LIMITED,Thane,400616,Thane,MAHARASHTRA,,,2025-03-20,https://maharerait.maharashtra.gov.in/public/project/view/17441
P51700016283,Tejas Society,RADHIKA SHELTERS,Kalyan,421202,Thane,MAHARASHTRA,,,2022-12-26,https://maharerait.maharashtra.gov.in/public/project/view/17442
P51700015040,Lodha Kolshet Plot A - Tower K,MACROTECH DEVELOPERS LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2019-01-02,https://maharerait.maharashtra.gov.in/public/project/view/17449
P51700015243,Lodha Kolshet Plot A - Tower J,MACROTECH DEVELOPERS LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2019-01-02,https://maharerait.maharashtra.gov.in/public/project/view/17450
P51700015114,WAMAN HEIGHTS,LAXMI DEVELOPERS,Kalyan,421306,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17451
P51700015091,ATMIYA HEIGHTS,AKSHAR GROUP,Ambarnath,421503,Thane,MAHARASHTRA,,,2019-08-17,https://maharerait.maharashtra.gov.in/public/project/view/17456
P51700015011,KSHIPRA,SARA REALTY,Thane,400705,Thane,MAHARASHTRA,,,2018-01-22,https://maharerait.maharashtra.gov.in/public/project/view/17459
P51700015016,"PALAVA MILANO A,B,C,H,I,J",Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/17465
P51700015090,"PALAVA AURORA A,D",Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/17466
P51700015006,C.B.D.61FOUR,GREENSCAPE SHAKTI VENUTRES,Thane,400614,Thane,MAHARASHTRA,,,2023-07-24,https://maharerait.maharashtra.gov.in/public/project/view/17474
P51700015031,PADMAPRABHA CO OP HSG SOCIETY,SHREE MAHAVEER ENTERPRISES,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-01-22,https://maharerait.maharashtra.gov.in/public/project/view/17475
P51700015767,SAI SATYAM RESIDENCY,SAI SATYAM GROUP,Kalyan,421301,Thane,MAHARASHTRA,,,2018-03-26,https://maharerait.maharashtra.gov.in/public/project/view/17478
P51700015392,PANVELKAR OPTIMA,VARAD VINAYAK DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-21,https://maharerait.maharashtra.gov.in/public/project/view/17480
P51700015142,SAI KISHAN APARTMENT,SAI KISHAN CONSTRUCTIONS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-02,https://maharerait.maharashtra.gov.in/public/project/view/17481
P51700015111,SUNANDA CIRCLE A WING AND C WING PHASE II,RUDIS DEVELOPERS,Thane,421204,Thane,MAHARASHTRA,,,2018-01-31,https://maharerait.maharashtra.gov.in/public/project/view/17485
P51700016191,GRACE SQUARE TYPE D4,SHREE SUMATINATH ENTERPRISES LLP,Thane,400612,Thane,MAHARASHTRA,,,2018-04-23,https://maharerait.maharashtra.gov.in/public/project/view/17486
P51700015018,NANDAI RESIDENCY,HARI OM DEVELOPERS,Bhiwandi,421302,Thane,MAHARASHTRA,,,2026-08-20,https://maharerait.maharashtra.gov.in/public/project/view/17488
P51700015200,OM YASHWANT PLAZA,OMPRAKASH RAMCHANDRA PANDEY,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-02-07,https://maharerait.maharashtra.gov.in/public/project/view/17491
P51700015337,HRISHA,YADAV BRO''S CONSTRUCTIONS,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/17495
P51700015118,ELEMENTS,UMA REALTY,Thane,421204,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17497
P51700017047,CAPMATRIX SQUARE,Capmatrix Buildcon LLP,Thane,400604,Thane,MAHARASHTRA,,,2023-11-21,https://maharerait.maharashtra.gov.in/public/project/view/17504
P51700015151,LANDSCAPE HERITAGE BUILDING NO 1,LANDSCAPE INFRASTRUCTURE,Ambarnath,421501,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17506
P51700015119,BHAIRAAV MILESTONE,Sharpmind Consultancy Services Private Limited,Thane,400604,Thane,MAHARASHTRA,,,2019-01-04,https://maharerait.maharashtra.gov.in/public/project/view/17509
P51700015400,New Suraj Tower,Ekdanta Constructions and Developers,Thane,400602,Thane,MAHARASHTRA,,,2018-02-21,https://maharerait.maharashtra.gov.in/public/project/view/17511
P51700015652,Y SQUARE,SHREE MALLINATH ENTERPRISE LLP,Thane,400607,Thane,MAHARASHTRA,,,2025-10-08,https://maharerait.maharashtra.gov.in/public/project/view/17512
P51700015245,DISHA CO OPERATIVE HOUSING SOCIETY LTD,GAGAN DEVELOPERS AND ENGINEERS,Kalyan,421301,Thane,MAHARASHTRA,,,2021-09-08,https://maharerait.maharashtra.gov.in/public/project/view/17514
P51700015127,SHREEJI NISARG PHASE I,SHREEJI DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-01-31,https://maharerait.maharashtra.gov.in/public/project/view/17515
P51700015240,GLOBE ESTATE PHASE 2,GLOBE ENTERPRISES,Kalyan,421203,Thane,MAHARASHTRA,,,2018-02-08,https://maharerait.maharashtra.gov.in/public/project/view/17517
P51700015302,Tulsi Aadvik,RAJ GROUP,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/17519
P51700015589,Omega Business Park,Arha Buildpro LLP,Thane,400604,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17529
P51700015325,THE GOLDEN MILE,GRACELANDS HABITATS,Murbad,420421,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/17534
P51700015189,SAI VILLA,BUILT TECH BUILDERS & DEVELOPERS PVT. LTD.,Ambarnath,421503,Thane,MAHARASHTRA,,,2022-12-27,https://maharerait.maharashtra.gov.in/public/project/view/17538
P51700015227,SHREERAM COMPLEX,G K DEVELOPERS,Kalyan,421306,Thane,MAHARASHTRA,,,2024-07-01,https://maharerait.maharashtra.gov.in/public/project/view/17539
P51700015177,Shree Sukhprada Apartment,Milind Vasant Vani,Kalyan,421301,Thane,MAHARASHTRA,,,2018-02-02,https://maharerait.maharashtra.gov.in/public/project/view/17543
P51700015246,TRISHUL GOLDEN VILLE,A PLUS LIFE SPACE,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-06-11,https://maharerait.maharashtra.gov.in/public/project/view/17544
P51700015155,BALAJI EXOTICA-PHASE 1,BALAJI WORLD,Kalyan,421301,Thane,MAHARASHTRA,,,2018-02-02,https://maharerait.maharashtra.gov.in/public/project/view/17545
P51700015544,OM SHANTI RESIDENCY,OM SHANTI CONSTRUCTION COMPANY,Kalyan,421605,Thane,MAHARASHTRA,,,2024-01-31,https://maharerait.maharashtra.gov.in/public/project/view/17546
P51700015355,Dhruvika Enclave,Manoyadnya Developers,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-20,https://maharerait.maharashtra.gov.in/public/project/view/17550
P51700016391,SARVODAY SHWETA,RACHANA ENTERPRISES,Kalyan,421201,Thane,MAHARASHTRA,,,2021-09-08,https://maharerait.maharashtra.gov.in/public/project/view/17558
P51700015258,DOSTI WESTCOUNTY- PHASE 2- DOSTI CEDAR,DOSTI ENTERPRISES,Thane,400607,Thane,MAHARASHTRA,,,2018-02-12,https://maharerait.maharashtra.gov.in/public/project/view/17559
P51700015892,COSMOS ENCLAVE - CHESTNUT,MONARCH DEVELOPERS,Thane,400607,Thane,MAHARASHTRA,,,2018-04-04,https://maharerait.maharashtra.gov.in/public/project/view/17562
P51700015758,Sara Heights,SHETE'S CONSTRUCTION,Ambarnath,421503,Thane,MAHARASHTRA,,,2023-03-06,https://maharerait.maharashtra.gov.in/public/project/view/17563
P51700015270,SHREEJI HEIGHTS,SHUBH BUILDCON,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-11-03,https://maharerait.maharashtra.gov.in/public/project/view/17564
P51700015294,KRUSHAN DHAM,KRUSHAN DHAM BUILDERS & DEVELOPERS,Ambarnath,421502,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/17565
P51700015266,NAV SAI CHHAYA CHS LTD,NIKET ENTERPRISES,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-12,https://maharerait.maharashtra.gov.in/public/project/view/17568
P51700015260,RUSTOMJEE AZZIANO WING E,Kapstone Constructions Private Limited,Thane,400601,Thane,MAHARASHTRA,,,2019-08-22,https://maharerait.maharashtra.gov.in/public/project/view/17577
P51700015305,METRO IMPERIAL,METRO BALAJI DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2021-09-08,https://maharerait.maharashtra.gov.in/public/project/view/17580
P51700015329,RATHADIA CO-OPERATIVE HOUSING SOCIETY LTD,J SQUARE INFRA,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/17585
P51700015907,VASIND LIFESTYLE,GORANATH ESTATE PRIVATE LIMITED,Shahapur,421604,Thane,MAHARASHTRA,,,2025-03-26,https://maharerait.maharashtra.gov.in/public/project/view/17586
P51700015330,Navjeevan Co-Op. Housing Society Ltd,AVISHKAR GROUP,Ambarnath,421503,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17590
P51700015369,MUMBRA LANDMARK,JYOTI INDUSTRIES,Thane,400612,Thane,MAHARASHTRA,,,2018-02-20,https://maharerait.maharashtra.gov.in/public/project/view/17591
P51700015295,MAHALAXMI NIWAS,SHREE MAHALAXMI CORPORATION,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-15,https://maharerait.maharashtra.gov.in/public/project/view/17593
P51700015482,FORTUNE CASTLE,ROYCE INFRA,Ulhasnagar,421004,Thane,MAHARASHTRA,,,2020-06-17,https://maharerait.maharashtra.gov.in/public/project/view/17595
P51700015389,SAI FORTUNE,SURESH GURALDAS THADANI,Ulhasnagar,421005,Thane,MAHARASHTRA,,,2018-02-21,https://maharerait.maharashtra.gov.in/public/project/view/17599
P51700015782,Namdev Vihar,Namdev Construction,Kalyan,421301,Thane,MAHARASHTRA,,,2023-02-08,https://maharerait.maharashtra.gov.in/public/project/view/17604
P51700015385,SHREE PALACE,PUSHLATA SUBHASH GHULE,Ambarnath,421503,Thane,MAHARASHTRA,,,2020-02-10,https://maharerait.maharashtra.gov.in/public/project/view/17607
P51700015390,PRECIOUS HARMONY PHASE II,M/s Soham Construction,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-02-21,https://maharerait.maharashtra.gov.in/public/project/view/17608
P51700015565,YOGI NIWAS,ELITE INFRASTRUCTURE,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17609
P51700015427,COSMOS HABITATE A WING,CONCORDE ASSOCIATES,Thane,400607,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17614
P51700015724,MAYUR HEIGHTS,REAL VALUE BUILDERS AND DEVELOPERS,Kalyan,421102,Thane,MAHARASHTRA,,,2021-10-18,https://maharerait.maharashtra.gov.in/public/project/view/17619
P51700015501,DOSTI WESTCOUNTY-PHASE 3-DOSTI WESTWOOD,DOSTI ENTERPRISES,Thane,400607,Thane,MAHARASHTRA,,,2018-03-01,https://maharerait.maharashtra.gov.in/public/project/view/17632
P51700015660,"PALAVA MARVELLA A, H",Palava Dwellers Private Limited,Thane,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/17640
P51700015601,Mohan Greenwoods Building 1,MOHAN LIFESPACES LLP,Ambarnath,421503,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17643
P51700015517,SHETH AVALON - PHASE 2,Sheth Developers Private Limited,Thane,400601,Thane,MAHARASHTRA,,,2026-08-14,https://maharerait.maharashtra.gov.in/public/project/view/17644
P51700015588,SIDDHASHRAM CHS LTD,STANDARD INFRASTRUCTURE,Thane,400602,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17648
P51700015483,SHUBH ASHISH,SHUBH BUILDERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-01,https://maharerait.maharashtra.gov.in/public/project/view/17653
P51700015495,ASHTAVINAYAK NX,ASHTAVINAYAK INFRASTRUCTURE,Ambarnath,421501,Thane,MAHARASHTRA,,,2020-06-13,https://maharerait.maharashtra.gov.in/public/project/view/17654
P51700015831,VITTHU PARADISE BUILDING NO. 3,ARADHNA CONSTRUCTION,Kalyan,421306,Thane,MAHARASHTRA,,,2026-08-25,https://maharerait.maharashtra.gov.in/public/project/view/17657
P51700015413,SHREE SAI ASHIRWAD,SHREE SAI ASHIRWAD ENTERPRISES,Kalyan,421201,Thane,MAHARASHTRA,,,2018-02-23,https://maharerait.maharashtra.gov.in/public/project/view/17660
P51700015449,ROYAL WOOD PARK,PRABHAVATI CONSTRUCTIONS,Ambarnath,421503,Thane,MAHARASHTRA,,,2021-09-08,https://maharerait.maharashtra.gov.in/public/project/view/17661
P51700015636,THE CENNET,SHANTI RATNA GROUP,Kalyan,421204,Thane,MAHARASHTRA,,,2026-08-31,https://maharerait.maharashtra.gov.in/public/project/view/17662
P51700015493,ALOK GALAXY,JUHI DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2026-08-26,https://maharerait.maharashtra.gov.in/public/project/view/17664
P51700015504,SAI SHARNAM- TYBE B,ANJANA SAHEBRAO CHAVAN,Kalyan,421301,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17666
P51700016575,ACE HOMES,AARTI ESTATES,Thane,400615,Thane,MAHARASHTRA,,,2018-05-23,https://maharerait.maharashtra.gov.in/public/project/view/17675
P51700015595,KALP NISARG,BLS VENTURES,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-12,https://maharerait.maharashtra.gov.in/public/project/view/17685
P51700015519,N G VALENCIA PHASE I,RNA Builders (NG),Thane,401107,Thane,MAHARASHTRA,,,2018-03-07,https://maharerait.maharashtra.gov.in/public/project/view/17687
P51700015599,QUALITY HEIGHTS II,QUALITY CONSTRUCTION CO,Thane,400612,Thane,MAHARASHTRA,,,2018-03-12,https://maharerait.maharashtra.gov.in/public/project/view/17689
P51700015525,OMKAR APARTMENTS,PINNACLE LIFESPACES,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-07,https://maharerait.maharashtra.gov.in/public/project/view/17693
P51700015548,KRISHNA C AND D WING,NINA BUILDERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17694
P51700016267,PRIYADARSHANI CHS LIMITED,ANIRUDDHA GROUP SHILPALI PROJECT,Thane,400602,Thane,MAHARASHTRA,,,2024-05-29,https://maharerait.maharashtra.gov.in/public/project/view/17696
P51700015554,"Shrushti Aarambh, Wing - C of Phase - I",SHRUSHTI DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17701
P51700015546,ANURAJ HEIGHTS,SHIVA BHOPI DEVELOPERS LLP,Kalyan,421202,Thane,MAHARASHTRA,,,2021-09-08,https://maharerait.maharashtra.gov.in/public/project/view/17702
P51700015567,SAI KRUPA RESIDENCY,SAIRAJ DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17705
P51700015621,MANGALAM,DEEPA SURESH GADA,Thane,400601,Thane,MAHARASHTRA,,,2018-03-15,https://maharerait.maharashtra.gov.in/public/project/view/17707
P51700015559,NEW SHIVNERI DARSHAN CO. OPERATIVE HOUSING SOCIETY LIMITED,GLOBAL HOUSING VENTURE,Kalyan,421301,Thane,MAHARASHTRA,,,2022-09-29,https://maharerait.maharashtra.gov.in/public/project/view/17715
P51700015557,NEW MODEL TOWN COMPLEX,QAVI CONSTRUCTION PVT. LTD.,Shahapur,421601,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17720
P51700015655,Chanakya B wing,Vadilal Creation,Kalyan,421204,Thane,MAHARASHTRA,,,2018-03-15,https://maharerait.maharashtra.gov.in/public/project/view/17722
P51700015749,AASHRAY PEARL WING D,AASHRAYGROUP,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-03-22,https://maharerait.maharashtra.gov.in/public/project/view/17729
P51700016463,Shree Sai Jalaram Builders and Developers,Shree Sai Jalaram Builders & Developers,Thane,400608,Thane,MAHARASHTRA,,,2018-05-11,https://maharerait.maharashtra.gov.in/public/project/view/17731
P51700015568,N G TIVOLI Phase I,RNA Builders (NG),Thane,401107,Thane,MAHARASHTRA,,,2018-03-08,https://maharerait.maharashtra.gov.in/public/project/view/17733
P51700015851,Ryyan View,HIDAYAT KHAN,Thane,410218,Thane,MAHARASHTRA,,,2018-03-27,https://maharerait.maharashtra.gov.in/public/project/view/17740
P51700015657,MANSVI APARTMENT,RUHI ENTERPRISES,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-15,https://maharerait.maharashtra.gov.in/public/project/view/17741
P51700016548,Saidarshan Residency,Gajanan Katod Shelavale,Shahapur,421601,Thane,MAHARASHTRA,,,2018-05-23,https://maharerait.maharashtra.gov.in/public/project/view/17745
P51700015793,ARYAN ONE WING I AND J,Konark Lifespaces,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-26,https://maharerait.maharashtra.gov.in/public/project/view/17746
P51700015624,BADLAPUR ARCADE,MAHALAXMI BUILDERS & DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-15,https://maharerait.maharashtra.gov.in/public/project/view/17748
P51700015735,Shiv Shahi Complex,Shalini Shivaji Pawar,Murbad,421401,Thane,MAHARASHTRA,,,2024-01-18,https://maharerait.maharashtra.gov.in/public/project/view/17757
P51700015676,SNEHBANDHAN CHS,AYUSHI INFRA ENTERPRISE PRIVATE LIMITED,Kalyan,421201,Thane,MAHARASHTRA,,,2018-03-16,https://maharerait.maharashtra.gov.in/public/project/view/17759
P51700016057,R R RESIDENCY - D WING,SHRI RADHE REALITIES PROJECT DEVELOPER,Bhiwandi,421302,Thane,MAHARASHTRA,,,2021-10-04,https://maharerait.maharashtra.gov.in/public/project/view/17767
P51700015955,Rumah Bali Phase 3,Puranik Builders Limited,Thane,400615,Thane,MAHARASHTRA,,,2018-04-10,https://maharerait.maharashtra.gov.in/public/project/view/17769
P51700015812,PARAISO-PHASE-II,OM ADITYA ASSOCIATES,Thane,421204,Thane,MAHARASHTRA,,,2018-03-26,https://maharerait.maharashtra.gov.in/public/project/view/17779
P51700015800,UNNATHI WOODS PHASE VII-B,UNNATHI ESTATES,Thane,400615,Thane,MAHARASHTRA,,,2020-07-17,https://maharerait.maharashtra.gov.in/public/project/view/17780
P51700015804,UNNATHI WOODS PHASE VI-F1,UNNATHI ESTATES,Thane,400615,Thane,MAHARASHTRA,,,2018-03-26,https://maharerait.maharashtra.gov.in/public/project/view/17782
P51700016007,PATHAK RESIDENCY,SHREE MAHALAXMI CONSTRUCTIONS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-04-11,https://maharerait.maharashtra.gov.in/public/project/view/17783
P51700015729,Sarvesh Dream City,SAI SHRADHA DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-19,https://maharerait.maharashtra.gov.in/public/project/view/17789
P51700015751,SWASTIK FLORESTA,D P HOMES INFRAPROJECTS PRIVATE LIMITED,Thane,400612,Thane,MAHARASHTRA,,,2024-03-18,https://maharerait.maharashtra.gov.in/public/project/view/17797
P51700016511,SALASAR NEW SAI KRIPA CO-OPERATIVE HOUSING SOCIETY LTD.,SALASAR REALTORS,Thane,401101,Thane,MAHARASHTRA,,,2018-05-18,https://maharerait.maharashtra.gov.in/public/project/view/17802
P51700015832,SURYA EXCELLENCY,SURYAKANT MANGALDAS SAMANI AND CHAMPABEN VASANJI MASHRU,Bhiwandi,421302,Thane,MAHARASHTRA,,,2018-03-27,https://maharerait.maharashtra.gov.in/public/project/view/17805
P51700016284,ANAND SAGAR DUOS,VPA DEVELOPERS,Kalyan,421301,Thane,MAHARASHTRA,,,2018-05-02,https://maharerait.maharashtra.gov.in/public/project/view/17811
P51700015845,SHREE GAONDEVI DHAM,SHREE TISAI DEVELOPERS,Kalyan,421306,Thane,MAHARASHTRA,,,2022-05-18,https://maharerait.maharashtra.gov.in/public/project/view/17818
P51700016781,TULSI TOWER,SHRI KALKI ENTERPRISES,Kalyan,421301,Thane,MAHARASHTRA,,,2020-12-17,https://maharerait.maharashtra.gov.in/public/project/view/17828
P51700018559,Rai s Heaven,RAI RESIDENCY Private Limited,Kalyan,421306,Thane,MAHARASHTRA,,,2026-08-24,https://maharerait.maharashtra.gov.in/public/project/view/17829
P51700018533,Rai s Tulip,RAI RESIDENCY Private Limited,Kalyan,421306,Thane,MAHARASHTRA,,,2018-11-12,https://maharerait.maharashtra.gov.in/public/project/view/17830
P51700017230,Rai s AARAGYA,RAI RESIDENCY Private Limited,Kalyan,421306,Thane,MAHARASHTRA,,,2019-08-14,https://maharerait.maharashtra.gov.in/public/project/view/17832
P51700023997,MADHUMALTI APARTMENT,SHREE NEELKANTH ASSOCIATES,Ambarnath,421503,Thane,MAHARASHTRA,,,2020-01-14,https://maharerait.maharashtra.gov.in/public/project/view/17838
P51700015840,TRINITY - RUDRA,RATTANRAJ LIFESPACES,Ambarnath,421501,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17842
P51700015962,AUDUMBER SHRUSHTI,KATHOD DAMA BHOIR,Kalyan,421301,Thane,MAHARASHTRA,,,2018-05-26,https://maharerait.maharashtra.gov.in/public/project/view/17845
P51700016288,PINNACLE RESIDENCY,LALJI HIRJI ARETHIYA,Thane,400701,Thane,MAHARASHTRA,,,2018-05-15,https://maharerait.maharashtra.gov.in/public/project/view/17846
P51700015874,PARVATI HEIGHTS,HASTI BUILDCON,Thane,421204,Thane,MAHARASHTRA,,,2024-05-06,https://maharerait.maharashtra.gov.in/public/project/view/17847
P51700015838,Radha Residency,Akshay Developers,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-03-27,https://maharerait.maharashtra.gov.in/public/project/view/17853
P51700015959,SKY HEIGHTS,SPACE BUILDCON,Kalyan,421301,Thane,MAHARASHTRA,,,2026-08-19,https://maharerait.maharashtra.gov.in/public/project/view/17862
P51700016175,HERAMBKRUPA C H S LTD,SHREE SAI BUILDERS & DEVELOPERS,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-04-20,https://maharerait.maharashtra.gov.in/public/project/view/17863
P51700015920,Devashree Park,RAMESH  SAWANT,Thane,400607,Thane,MAHARASHTRA,,,2023-12-01,https://maharerait.maharashtra.gov.in/public/project/view/17865
P51700016492,Versatile Valley J Wing,Versatile Developers,Kalyan,421204,Thane,MAHARASHTRA,,,2018-05-18,https://maharerait.maharashtra.gov.in/public/project/view/17868
P51700015978,MANOHAR SHREEJI NIRVANA PHASE 4,DEEPLAXMI DEVELOPERS,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-04-10,https://maharerait.maharashtra.gov.in/public/project/view/17873
P51700016074,KANAK RESIDENCY,KRISKAN INFRAVENTURE LLP,Bhiwandi,421302,Thane,MAHARASHTRA,,,2018-04-16,https://maharerait.maharashtra.gov.in/public/project/view/17875
P51700015965,Nasam Darul Amaan Wing A and B,NEW INDIA CONSTRUCTION,Thane,400612,Thane,MAHARASHTRA,,,2026-05-06,https://maharerait.maharashtra.gov.in/public/project/view/17876
P51700016047,SANVEG HILLS,SANVEG HOMES,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-04-12,https://maharerait.maharashtra.gov.in/public/project/view/17878
P51700016123,Aadi Aarambh II,Nirman Construction,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-05-01,https://maharerait.maharashtra.gov.in/public/project/view/17879
P51700015956,SHREE BALLALESHWAR,M/S PATIL ASSOCIATES,Thane,400607,Thane,MAHARASHTRA,,,2026-08-12,https://maharerait.maharashtra.gov.in/public/project/view/17880
P51700015939,CONTINENTAL FUTURA,CONTINENTAL SIDHANT REALITY,Bhiwandi,421302,Thane,MAHARASHTRA,,,2026-09-01,https://maharerait.maharashtra.gov.in/public/project/view/17881
P51700016399,SAVITRI APARTMENT,SURESH  MORE,Thane,400706,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/17883
P51700015954,Shreesandesh Heights,ADITYA ENTERPRISES,Thane,400606,Thane,MAHARASHTRA,,,2026-08-18,https://maharerait.maharashtra.gov.in/public/project/view/17884
P51700016720,SHREE SIDDHIVINAYAK PARK WING A1 AND A2,SATYASHIV DEVELOPERS,Murbad,421401,Thane,MAHARASHTRA,,,2020-02-16,https://maharerait.maharashtra.gov.in/public/project/view/18691
P51700016180,Godavari Arcade,VIJAYPRAKASH RAMDEV YADAV,Ambarnath,421503,Thane,MAHARASHTRA,,,2018-04-20,https://maharerait.maharashtra.gov.in/public/project/view/18692
P51700016651,SHABRI RESIDENCY,SHREE AYYAPPA CONSTRUCTIONS,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-06-05,https://maharerait.maharashtra.gov.in/public/project/view/18696
