rera_no,project_name,promoter,location,pincode,district,state,lat,lng,last_modified,details_url
P51700001153,CASA UNIVIS - CIELO D,MACROTECH DEVELOPERS LIMITED,Thane,400615,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/5137
P51700005077,Manas Hills,Ashok Kumar Narayanlal Sahlot,Shahapur,421604,Thane,MAHARASHTRA,,,2019-03-05,https://maharerait.maharashtra.gov.in/public/project/view/5154
P51700000778,Alpinia,Acme Housing India Private Limited,Thane,400607,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/5162
P51700001100,SATYAM ELEGANZA,PANORAMA REALTY,Ambarnath,421501,Thane,MAHARASHTRA,,,2017-07-26,https://maharerait.maharashtra.gov.in/public/project/view/5166
P51700000445,SHANKHESHWAR PLATINUM-PHASE 1,SHANKHESHWAR KREATERS,Kalyan,421301,Thane,MAHARASHTRA,,,2017-07-18,https://maharerait.maharashtra.gov.in/public/project/view/5174
P51700003704,BAMUBAI SADAN,SAMARTH DEVELOPERS,Kalyan,421202,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/5186
P51700000431,Panvelkar Estate - Rockford,Vijay Ramchandra Panvelkar,Ambarnath,421503,Thane,MAHARASHTRA,,,2017-07-17,https://maharerait.maharashtra.gov.in/public/project/view/5202
P51700001458,VIHANGS VERMONT,VIHANG ENTERPRISES,Thane,400615,Thane,MAHARASHTRA,,,2017-07-28,https://maharerait.maharashtra.gov.in/public/project/view/5219
P51700000450,SAI SHRUSHTI HEIGHTS-B4,SAI SHRUSHTI ENTERPRISES,Thane,400612,Thane,MAHARASHTRA,,,2017-07-18,https://maharerait.maharashtra.gov.in/public/project/view/5233
P51700011204,Shree Ganesh Residency,Amol Padmakar Tarmale,Shahapur,421301,Thane,MAHARASHTRA,,,2017-08-31,https://maharerait.maharashtra.gov.in/public/project/view/5238
P51700002317,Anthurium,AARTI ESTATES,Thane,400615,Thane,MAHARASHTRA,,,2021-12-30,https://maharerait.maharashtra.gov.in/public/project/view/5241
P51700006127,THARWANI ARIANA PHASE II,ANIL HARDASMAL THARWANI,Ambarnath,421501,Thane,MAHARASHTRA,,,2017-09-12,https://maharerait.maharashtra.gov.in/public/project/view/5251
P51700006728,THARWANI ARIANA PHASE III,ANIL HARDASMAL THARWANI,Ambarnath,421501,Thane,MAHARASHTRA,,,2017-09-12,https://maharerait.maharashtra.gov.in/public/project/view/5257
P51700007834,THARWANI ARIANA PHASE IV,ANIL HARDASMAL THARWANI,Ambarnath,421501,Thane,MAHARASHTRA,,,2017-09-12,https://maharerait.maharashtra.gov.in/public/project/view/5259
P51700000847,Iris,HIRANANDANI PROPERTIES PRIVATE LIMITED,Thane,400610,Thane,MAHARASHTRA,,,2017-07-23,https://maharerait.maharashtra.gov.in/public/project/view/5269
P51700001032,Dandelia,Acme Housing India Private Limited,Thane,400607,Thane,MAHARASHTRA,,,2017-07-25,https://maharerait.maharashtra.gov.in/public/project/view/5273
P51700001038,Herbelia,Acme Housing India Private Limited,Thane,400607,Thane,MAHARASHTRA,,,2023-01-03,https://maharerait.maharashtra.gov.in/public/project/view/5274
P51700001033,Gingelia Residential,Acme Housing India Private Limited,Thane,400607,Thane,MAHARASHTRA,,,2023-01-20,https://maharerait.maharashtra.gov.in/public/project/view/5278
P51700000448,"PALAVA CLARA A to D, D1",Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/5289
P51700000928,Hotel,ROMA BUILDERS PRIVATE LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/5299
P51700000420,Palava Clara J-M,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/5302
P51700000635,Sunrise A,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2018-07-16,https://maharerait.maharashtra.gov.in/public/project/view/5308
P51700000625,Sunrise C,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2018-07-16,https://maharerait.maharashtra.gov.in/public/project/view/5318
P51700000598,Panvelkar Crown,Rahul Vijay Panvelkar,Ambarnath,421501,Thane,MAHARASHTRA,,,2019-01-04,https://maharerait.maharashtra.gov.in/public/project/view/5323
P51700000802,"PALAVA CLUSTER 2-06 -  A - G, I - N",Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/5334
P51700000463,SHANKHESHWAR CRYSTAL-PHASE 1,SHANKHESHWAR KREATERS,Kalyan,421605,Thane,MAHARASHTRA,,,2017-07-18,https://maharerait.maharashtra.gov.in/public/project/view/5337
P51700004557,Mohan Altezza I,MOHAN LIFESPACES LLP,Kalyan,421301,Thane,MAHARASHTRA,,,2017-08-09,https://maharerait.maharashtra.gov.in/public/project/view/5339
P51700013381,Pandurang smruti,Lote Constructions,Kalyan,421203,Thane,MAHARASHTRA,,,2020-06-13,https://maharerait.maharashtra.gov.in/public/project/view/5342
P51700000640,Sunrise D,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2018-07-16,https://maharerait.maharashtra.gov.in/public/project/view/5352
P51700000922,Sunrise B,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2018-07-16,https://maharerait.maharashtra.gov.in/public/project/view/5356
P51700001809,Sai Satyam Homes,Sai Satyam Developers,Kalyan,421301,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/5364
P51700002912,Zenia,ROMA BUILDERS PRIVATE LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2017-08-04,https://maharerait.maharashtra.gov.in/public/project/view/5372
P51700004541,Anjani Regency,Geeta Developers,Thane,401101,Thane,MAHARASHTRA,,,2017-08-09,https://maharerait.maharashtra.gov.in/public/project/view/5381
P51700001039,Immensa A,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5385
P51700000927,Immensa B,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5386
P51700000925,Sunrise E,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2018-07-16,https://maharerait.maharashtra.gov.in/public/project/view/5391
P51700004964,SHANTI KUNJ,SHREYAS ENTERPRISES,Thane,400602,Thane,MAHARASHTRA,,,2017-08-09,https://maharerait.maharashtra.gov.in/public/project/view/5393
P51700001031,"LODHA AMARA - TOWER 26, 27, 28, 30, 34, 35",MACROTECH DEVELOPERS LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2019-01-02,https://maharerait.maharashtra.gov.in/public/project/view/5406
P51700001040,Immensa C,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5412
P51700000732,Immensa D,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5415
P51700000924,Immensa E,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5425
P51700001278,Immensa F,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5429
P51700001083,Immensa G,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5433
P51700001310,Immensa H,Agile Real Estate Pvt. Ltd.,Thane,400607,Thane,MAHARASHTRA,,,2024-05-20,https://maharerait.maharashtra.gov.in/public/project/view/5434
P51700001065,"LODHA AMARA - TOWER 1 - 5, 7 - 19",MACROTECH DEVELOPERS LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2019-01-02,https://maharerait.maharashtra.gov.in/public/project/view/5452
P51700002752,SUKHKARTA I CO-OPERATIVE HOUSING SOCIETY LIMITED,FSK BUILDERS & DEVELOPERS PRIVATE LIMITED,Thane,400706,Thane,MAHARASHTRA,,,2017-08-04,https://maharerait.maharashtra.gov.in/public/project/view/5455
P51700002833,NILGAGAN CO-OPERATIVE HOUSING SOCIETY LIMITED,FSK BUILDERS & DEVELOPERS PRIVATE LIMITED,Thane,400706,Thane,MAHARASHTRA,,,2017-08-04,https://maharerait.maharashtra.gov.in/public/project/view/5457
P51700005444,VAIJNATH,PRAKASH LELE CONSTRUCTION,Kalyan,421301,Thane,MAHARASHTRA,,,2017-08-11,https://maharerait.maharashtra.gov.in/public/project/view/5461
